Name                                                                         Type        File
BearerType                                                                   ValueSet    BearerType-ValueSet.fsh
BearerType                                                                   CodeSystem  BearerType-CodeSystem.fsh
BurdenClass                                                                  ValueSet    BurdenClass-ValueSet.fsh
BurdenClass                                                                  CodeSystem  BurdenClass-CodeSystem.fsh
CalculationCategory                                                          ValueSet    CalculationCategory-ValueSet.fsh
CalculationCategory                                                          CodeSystem  CalculationCategory-CodeSystem.fsh
Claim                                                                        Profile     Claim-Profile.fsh
ClassificationOfCoPayment                                                    ValueSet    ClassificationOfCoPayment-ValueSet.fsh
ClassificationOfCoPayment                                                    CodeSystem  ClassificationOfCoPayment-CodeSystem.fsh
ComprehensiveManagementFee                                                   CodeSystem  ComprehensiveManagementFee-CodeSystem.fsh
ConfirmationCategory                                                         ValueSet    ConfirmationCategory-ValueSet.fsh
ConfirmationCategory                                                         CodeSystem  ConfirmationCategory-CodeSystem.fsh
CounterBurdenCategory                                                        ValueSet    CounterBurdenCategory-ValueSet.fsh
CounterBurdenCategory                                                        CodeSystem  CounterBurdenCategory-CodeSystem.fsh
Coverage                                                                     Profile     Coverage-Profile.fsh
CoverageInsuredPersonNo                                                      Extension   CoverageInsuredPersonNo-Extension.fsh
CoverageInsuredPersonSymbol                                                  Extension   CoverageInsuredPersonSymbol-Extension.fsh
Device                                                                       Profile     Device-Profile.fsh
DispensingAct                                                                ValueSet    DispensingAct-ValueSet.fsh
DosageForm                                                                   ValueSet    DosageForm-ValueSet.fsh
DosageForm                                                                   CodeSystem  DosageForm-CodeSystem.fsh
ExaminationAndPaymentInstitution                                             ValueSet    ExaminationAndPaymentInstitution-ValueSet.fsh
ExaminationAndPaymentInstitution                                             CodeSystem  ExaminationAndPaymentInstitution-CodeSystem.fsh
ExtensionClaimCommonInformation                                              Extension   ExtensionClaimCommonInformation-Extension.fsh
ExtensionClaimComprehensiveEvaluation                                        Extension   ExtensionClaimComprehensiveEvaluation-Extension.fsh
ExtensionClaimInsurerInformation                                             Extension   ExtensionClaimInsurerInformation-Extension.fsh
ExtensionClaimPatientInformation                                             Extension   ExtensionClaimPatientInformation-Extension.fsh
